Name,Category,Unit,"Display Unit","Display Factor",Quantity,"Reorder Level","Preferred Supplier","Restock Quantity"
"1.50  coke",,bat,,1.0000,0.0000,0.0000,,0.0000
"1/2 Boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"1/4 Boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"12oz baso",,pack,,1.0000,450.0000,0.0000,,0.0000
"16 oz baso",,pack,,1.0000,500.0000,0.0000,,0.0000
"16 oz. Cup",,pcs,,1.0000,0.0000,0.0000,,0.0000
"3x16 plastic",,pack,,1.0000,11.0000,0.0000,,0.0000
accord,,klo,,1.0000,1.0000,0.0000,,0.0000
acord,,kl.,,1.0000,0.0000,0.0000,,0.0000
"acord  100grms",,pack,,1.0000,5.0000,0.0000,,0.0000
"Adobo Mix (50g)",,pack,,1.0000,0.0000,0.0000,,0.0000
ahos,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"All purpose cream",,1L,,1.0000,0.0000,0.0000,,0.0000
"All-Purpose Flour",,g,kg,1000.0000,25000.0000,0.0000,,0.0000
"aluminum foil",,roll,,1.0000,1.0000,0.0000,,0.0000
"anchor butter",,bar,,1.0000,0.0000,0.0000,,0.0000
"Asado Mix",,pack,,1.0000,26.0000,0.0000,,0.0000
asin,,kl.,,1.0000,4.0000,0.0000,,0.0000
"assorted meals plastic (6x8",,pack,,1.0000,9.0000,0.0000,,0.0000
"bakers Best",,pack,,1.0000,70.0000,0.0000,,0.0000
"balbacua plastic (6x10",,pack,,1.0000,9.0000,0.0000,,0.0000
"banana flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"bar cheeze",,pack,,1.0000,13.0000,0.0000,,0.0000
"Basil Leaves",,bot,,1.0000,0.0000,0.0000,,0.0000
"Batchoy powder",,pack,,1.0000,6.0000,0.0000,,0.0000
"Beef Cubes",,pcs,,1.0000,29.0000,0.0000,,0.0000
"beef feet for balbacua",,kls.,,1.0000,20.0000,0.0000,,0.0000
"Beef powder( 50grms)",,pack,,1.0000,5.0000,0.0000,,0.0000
"beef tapa",,pack,,1.0000,0.0000,0.0000,,0.0000
Bensdorp,,200grms,,1.0000,0.0000,0.0000,,0.0000
"beryl's Choco cocoa",,kl.,,1.0000,0.0000,0.0000,,0.0000
Berylis,,bot,,1.0000,1.0000,0.0000,,0.0000
betsin,,pack,,1.0000,-1.0000,0.0000,,0.0000
Bihon,,g,kg,1000.0000,13000.0000,0.0000,,0.0000
bilbao,,pack,,1.0000,0.0000,0.0000,,0.0000
"Birch tree 1.4kg",,pack,,1.0000,1.0000,0.0000,,0.0000
"birthday topper",,pack,,1.0000,0.0000,0.0000,,0.0000
"black beans",,can,,1.0000,-3.0000,0.0000,,0.0000
"Blue Berry",,can,,1.0000,1.0000,0.0000,,0.0000
"board ( 14x14)",,pcs,,1.0000,0.0000,0.0000,,0.0000
"board #4",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Board 11",,pcs,,1.0000,0.0000,0.0000,,0.0000
"board 12",,pcs,,1.0000,0.0000,0.0000,,0.0000
bombay,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Bravo Buttercream",,pcs,,1.0000,94.0000,0.0000,,0.0000
"bravo condense",,can,,1.0000,0.0000,0.0000,,0.0000
"bravo evap",,can,,1.0000,0.0000,0.0000,,0.0000
"bread crumbs",,pack,,1.0000,0.0000,0.0000,,0.0000
brisket,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Brown bag # 1",,pack,,1.0000,5.0000,0.0000,,0.0000
"Brown bag # 2",,pack,,1.0000,2.0000,0.0000,,0.0000
"Brown bag # 3",,pack,,1.0000,2.0000,0.0000,,0.0000
"Brown bag # 4",,pack,,1.0000,4.0000,0.0000,,0.0000
"brown bag # 5",,pack,,1.0000,0.0000,0.0000,,0.0000
"brown bag #35",,pack,,1.0000,2.0000,0.0000,,0.0000
"brown bag #5",,pack,,1.0000,0.0000,0.0000,,0.0000
"Brown bag#16",,pack,,1.0000,4.0000,0.0000,,0.0000
"brown bag#20",,pack,,1.0000,1.0000,0.0000,,0.0000
"Brown Sugar",,g,kg,1000.0000,4000.0000,0.0000,,0.0000
Brownies,,bag,,1.0000,9.0000,0.0000,,0.0000
"buko pandan",,bot,,1.0000,0.0000,0.0000,,0.0000
bulaklaksaging,,pack,,1.0000,0.0000,0.0000,,0.0000
Bunge,,pack,,1.0000,16.0000,0.0000,,0.0000
"burger 5kl Dough",,bag,,1.0000,2.0000,0.0000,,0.0000
"Burger mix 1kl",,kls,,1.0000,1.0000,0.0000,,0.0000
"burger plastic",,pack,,1.0000,8.0000,0.0000,,0.0000
"butter milk 1/2 klg",,pack,,1.0000,-5.0000,0.0000,,0.0000
"Cake Board 8",,pcs,,1.0000,0.0000,0.0000,,0.0000
"cake drum # 14",,pcs,,1.0000,0.0000,0.0000,,0.0000
"cake drum #12",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Cake Flour",,g,kg,1000.0000,13000.0000,0.0000,,0.0000
"calibot cocoa",,g,,1.0000,1.0000,0.0000,,0.0000
"Calumet 1kg.",,pack,,1.0000,3.0000,0.0000,,0.0000
"candl stick",,pcs,,1.0000,0.0000,0.0000,,0.0000
canto,,klos,,1.0000,0.0000,0.0000,,0.0000
casheu,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"cassava starch",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"cheese slice",,pack,,1.0000,1.0000,0.0000,,0.0000
Cherries,,bot,,1.0000,2.0000,0.0000,,0.0000
"chicharon palabok",,pack,,1.0000,0.0000,0.0000,,0.0000
"chicharon tindahan",,pack,,1.0000,6.0000,0.0000,,0.0000
"chicken back bone",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Chicken Cubes",,pcs,,1.0000,374.0000,0.0000,,0.0000
"chicken Quarter",,kl.,,1.0000,0.0000,0.0000,,0.0000
"Chiffon Mix",,bag,,1.0000,2.0000,0.0000,,0.0000
"chix breast",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"chix thigh",,klg,,1.0000,0.0000,0.0000,,0.0000
chlorine,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Choco Flour",,pack,,1.0000,0.0000,0.0000,,0.0000
"chocolate bar dark",,bar,,1.0000,4.0000,0.0000,,0.0000
"chocolate bar white",,bar,,1.0000,1.0000,0.0000,,0.0000
"chocolate chips 1/2",,pack,,1.0000,0.0000,0.0000,,0.0000
"Chocolate Flavorade",,bot,,1.0000,0.0000,0.0000,,0.0000
"chocolate red bar",,bar,,1.0000,0.0000,0.0000,,0.0000
"clear cup 22 oz",,pack,,1.0000,0.0000,0.0000,,0.0000
"clear pack roll",,pcs,,1.0000,100.0000,0.0000,,0.0000
"cling wrap",,roll,,1.0000,0.0000,0.0000,,0.0000
"cling wrap roll",,roll,,1.0000,0.0000,0.0000,,0.0000
coffeemate,,pack,,1.0000,24.0000,0.0000,,0.0000
"coffeemate  tbsp",,pack,,1.0000,0.0000,0.0000,,0.0000
Coke,,bot,,1.0000,120.0000,0.0000,,0.0000
"coke in can 24",,case,,1.0000,1.0000,0.0000,,0.0000
Condense,,box,,1.0000,0.0000,0.0000,,0.0000
"Condense (Alaska/Cow Bell)",,can,,1.0000,112.0000,0.0000,,0.0000
"cont.sa kakanin",,pack,,1.0000,0.0000,0.0000,,0.0000
"cookies & cream",,pack,,1.0000,2.0000,0.0000,,0.0000
"corn starch",,kl.,,1.0000,0.0000,0.0000,,0.0000
"cream and tar2x",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Cream Cheese",,pcs,,1.0000,8.0000,0.0000,,0.0000
"Cream Corn",,can,,1.0000,0.0000,0.0000,,0.0000
"Cream Mushroom",,can,,1.0000,0.0000,0.0000,,0.0000
creamyvit,,pack,,1.0000,14.0000,0.0000,,0.0000
"crushed graham",,pack,,1.0000,1.0000,0.0000,,0.0000
"crushed oreo",,pack,,1.0000,1.0000,0.0000,,0.0000
"cup cake wrapper",,pack,,1.0000,0.0000,0.0000,,0.0000
"Dari Crème",,pcs,,1.0000,57.0000,0.0000,,0.0000
"Dark Chocolate",,pack,,1.0000,4.0000,0.0000,,0.0000
"dawel. wood",,pack,,1.0000,0.0000,0.0000,,0.0000
"Desiccated coconut",,pack,,1.0000,0.0000,0.0000,,0.0000
"dragees assorted colors",,cont,,1.0000,0.0000,0.0000,,0.0000
"dry peas",,can,,1.0000,0.0000,0.0000,,0.0000
Egg,,pcs,,1.0000,435.0000,0.0000,,0.0000
"empanada meat",,kl.,,1.0000,0.0000,0.0000,,0.0000
EVAP,,box,,1.0000,0.0000,0.0000,,0.0000
"Flower icing",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Fondant big",,Gal.,,1.0000,0.0000,0.0000,,0.0000
"Fondant small",,"1/4 Gal.",,1.0000,0.0000,0.0000,,0.0000
"Food Color Red",,bot,,1.0000,1.0000,0.0000,,0.0000
"Fork Wood",,pack,,1.0000,8.0000,0.0000,,0.0000
"fresh lumpia meat (400g )",,kg.,,1.0000,0.0000,0.0000,,0.0000
"Fruit cocktail",,can,,1.0000,0.0000,0.0000,,0.0000
"Fruita Mango Jam BIG",,can,,1.0000,12.0000,0.0000,,0.0000
Ganador,,klos.,,1.0000,0.0000,0.0000,,0.0000
gelatin,,pack,,1.0000,0.0000,0.0000,,0.0000
Ginamus,,bot,,1.0000,2.0000,0.0000,,0.0000
"Ginisa Mix (250g)",,pack,,1.0000,1.0000,0.0000,,0.0000
Glacin,,pack,,1.0000,2.0000,0.0000,,0.0000
Gloves,,box,,1.0000,1.0000,0.0000,,0.0000
"Glutinous rice 500grms",,bag,,1.0000,6.0000,0.0000,,0.0000
"Grahams (200g)",,pack,,1.0000,0.0000,0.0000,,0.0000
Grbanzos,,can,,1.0000,0.0000,0.0000,,0.0000
"Ground beef",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"ground pork",,klo.,,1.0000,0.0000,0.0000,,0.0000
"Gulaman (Green)",,pcs,,1.0000,20.0000,0.0000,,0.0000
"Gulaman (Red)",,pcs,,1.0000,16.0000,0.0000,,0.0000
"Gulaman (White)",,pcs,,1.0000,1.0000,0.0000,,0.0000
"Gulaman (Yellow)",,pcs,,1.0000,12.0000,0.0000,,0.0000
"gulaman black",,pack,,1.0000,4.0000,0.0000,,0.0000
"Gulaman Flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"halo2x take out  cup",,pcs,,1.0000,0.0000,0.0000,,0.0000
"hamburger mix",,bot,,1.0000,0.0000,0.0000,,0.0000
Hershey's,,g,,1.0000,0.0000,0.0000,,0.0000
Hersheys,,500grms,,1.0000,35.0000,0.0000,,0.0000
Hoisin,,can,,1.0000,1.0000,0.0000,,0.0000
"Hot Sauce",,bot,,1.0000,0.0000,0.0000,,0.0000
"Ice Cream",,gallon,,1.0000,0.0000,0.0000,,0.0000
"ice tea",,pack,,1.0000,0.0000,0.0000,,0.0000
"ice tea tbsp",,pack,,1.0000,0.0000,0.0000,,0.0000
Iland,,g,kg,1000.0000,14000.0000,0.0000,,0.0000
"kaong red",,bot,,1.0000,0.0000,0.0000,,0.0000
"kare2x mix",,pack,,1.0000,0.0000,0.0000,,0.0000
Ketchup,,gallon,,1.0000,1.0000,0.0000,,0.0000
"Knorr Seasoning",,L,,1.0000,0.0000,0.0000,,0.0000
"lady choice",,pack,,1.0000,0.0000,0.0000,,0.0000
"Large Bag",,pack,,1.0000,6.0000,0.0000,,0.0000
lihia,,bot,,1.0000,4.0000,0.0000,,0.0000
"Liver spread",,can,,1.0000,9.0000,0.0000,,0.0000
"Luncheon meat (Ellen)",,can,,1.0000,0.0000,0.0000,,0.0000
Lunga,,pack,,1.0000,1.0000,0.0000,,0.0000
"Magnolia Fresh Milk",,L,,1.0000,4.0000,0.0000,,0.0000
"Magnolia Gold",,pcs,,1.0000,0.0000,0.0000,,0.0000
maling,,can,,1.0000,0.0000,0.0000,,0.0000
"Mami Noodles",,pack,,1.0000,0.0000,0.0000,,0.0000
manggo,,kls,,1.0000,0.0000,0.0000,,0.0000
"Mango Jam Small",,can,,1.0000,0.0000,0.0000,,0.0000
"mango. flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
mantica,,cont.,,1.0000,0.0000,0.0000,,0.0000
Mascobado,,g,kg,1000.0000,0.0000,0.0000,,0.0000
mayonnaise,,galon,,1.0000,0.0000,0.0000,,0.0000
"Mc 500 container",,pcs,,1.0000,0.0000,0.0000,,0.0000
"mc 750",,pack,,1.0000,0.0000,0.0000,,0.0000
"menudo mix",,pack,,1.0000,4.0000,0.0000,,0.0000
"Mineral Water",,box,,1.0000,17.0000,0.0000,,0.0000
"Mini Boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Mixed Mushroom",,can,,1.0000,0.0000,0.0000,,0.0000
"mocha flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"Mongo Beans",,bot,,1.0000,6.0000,0.0000,,0.0000
"Mushroom Cream",,pack,,1.0000,0.0000,0.0000,,0.0000
"Mushroom Gravy",,pack,,1.0000,0.0000,0.0000,,0.0000
"nacho cheese sauce 3.01kg.",,can,,1.0000,0.0000,0.0000,,0.0000
"Nacho Chips",,pack,,1.0000,0.0000,0.0000,,0.0000
nangka,,bot,,1.0000,0.0000,0.0000,,0.0000
"Nata de Coco green",,pack,,1.0000,0.0000,0.0000,,0.0000
"Nata de coco red",,pack,,1.0000,0.0000,0.0000,,0.0000
"Nescafe 185g.",,pack,,1.0000,2.0000,0.0000,,0.0000
"ofsitin container",,pcs,,1.0000,0.0000,0.0000,,0.0000
oxtripe,,klo.,,1.0000,0.0000,0.0000,,0.0000
"paint sa baka",,klos,,1.0000,0.0000,0.0000,,0.0000
"palabok meat  1 1/2",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Palabok Mix",,pack,,1.0000,0.0000,0.0000,,0.0000
"pamenta liso",,pack,,1.0000,0.0000,0.0000,,0.0000
"paminta  liso",,pack,,1.0000,0.0000,0.0000,,0.0000
Paprika,,bot,,1.0000,0.0000,0.0000,,0.0000
"Parmesan Cheese",,bot,,1.0000,0.0000,0.0000,,0.0000
Parsley,,bot,,1.0000,0.0000,0.0000,,0.0000
pasas,,g,kg,1000.0000,2000.0000,0.0000,,0.0000
"Pasta Alfredo",,klo,,1.0000,0.0000,0.0000,,0.0000
"PATA slice",,kl.,,1.0000,0.0000,0.0000,,0.0000
patatas,,g,kg,1000.0000,0.0000,0.0000,,0.0000
peaches,,can,,1.0000,0.0000,0.0000,,0.0000
"peanut butter big",,bot,,1.0000,0.0000,0.0000,,0.0000
"peanut butter s.",,bot,,1.0000,0.0000,0.0000,,0.0000
pickles,,bot,,1.0000,0.0000,0.0000,,0.0000
Pilit,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pineapple juice",,can,,1.0000,0.0000,0.0000,,0.0000
"plastic sa sauce (8x12",,pack,,1.0000,8.0000,0.0000,,0.0000
"Pleasure Gold",,pcs,,1.0000,36.0000,0.0000,,0.0000
"pork adobo cut",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pork belly humba",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pork meat for burger",,klos.,,1.0000,0.0000,0.0000,,0.0000
"pork menudo",,klo.,,1.0000,0.0000,0.0000,,0.0000
"precut tissue",,pack,,1.0000,0.0000,0.0000,,0.0000
"Premium boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Presto biscuit",,pack,,1.0000,3.0000,0.0000,,0.0000
"red velvet",,g,kg,1000.0000,20000.0000,0.0000,,0.0000
ribbon,,roll,,1.0000,2.0000,0.0000,,0.0000
Rice,,g,kg,1000.0000,51000.0000,0.0000,,0.0000
"Rice flour 500grms",,bag,,1.0000,0.0000,0.0000,,0.0000
"rice for lugaw",,pack,,1.0000,10.0000,0.0000,,0.0000
"rice use taas ( am.)",,700gms,,1.0000,0.0000,0.0000,,0.0000
"rice use taas (pm.)",,300gms,,1.0000,0.0000,0.0000,,0.0000
"Roll bag",,pack,,1.0000,15.0000,0.0000,,0.0000
Royal,,bot,,1.0000,0.0000,0.0000,,0.0000
"royal in can 24",,case,,1.0000,6.0000,0.0000,,0.0000
Rufina,,bot,,1.0000,3.0000,0.0000,,0.0000
"salad cup",,pack,,1.0000,2.0000,0.0000,,0.0000
"sambo container",,pack,,1.0000,0.0000,0.0000,,0.0000
Sausage,,pcs,,1.0000,0.0000,0.0000,,0.0000
Shortening,,g,kg,1000.0000,4000.0000,0.0000,,0.0000
"shrimp cubes",,pcs,,1.0000,12.0000,0.0000,,0.0000
"shrimp powder",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"siopao meat",,kls,,1.0000,0.0000,0.0000,,0.0000
"sipao 5kl.Dough",,bag,,1.0000,7.0000,0.0000,,0.0000
"slice container  for cake's slice",,pack,,1.0000,1.0000,0.0000,,0.0000
"smart diswashing",,bot,,1.0000,2.0000,0.0000,,0.0000
sorbate,,pack,,1.0000,0.0000,0.0000,,0.0000
"Spag Box",,pack,,1.0000,5.0000,0.0000,,0.0000
"spag noodles",,g,kg,1000.0000,2000.0000,0.0000,,0.0000
"spaghetti sauce 1kg.",,pack,,1.0000,3.0000,0.0000,,0.0000
"Spaghetti Spice Mix",,pack,,1.0000,1.0000,0.0000,,0.0000
"Spoon Wood",,pack,,1.0000,4.0000,0.0000,,0.0000
"spoons sa halo2x t.o",,pack,,1.0000,5.0000,0.0000,,0.0000
Sprite,,bot,,1.0000,0.0000,0.0000,,0.0000
"sprite in can 24",,case,,1.0000,5.0000,0.0000,,0.0000
"straw for shake",,pack,,1.0000,11.0000,0.0000,,0.0000
"strawberry jam",,gal,,1.0000,1.0000,0.0000,,0.0000
suka,,gal,,1.0000,1.0000,0.0000,,0.0000
"surf powder",,pcs,,1.0000,7.0000,0.0000,,0.0000
"swan flour",,pack,,1.0000,0.0000,0.0000,,0.0000
"t.o plastic double",,pack,,1.0000,8.0000,0.0000,,0.0000
"t.o plastic single",,pack,,1.0000,5.0000,0.0000,,0.0000
"taco seasoning",,pack,,1.0000,0.0000,0.0000,,0.0000
"taco shell",,box,,1.0000,0.0000,0.0000,,0.0000
"Take out container",,pack,,1.0000,5.0000,0.0000,,0.0000
"Tomato Paste (S)",,pack,,1.0000,0.0000,0.0000,,0.0000
"tomato sauce",,can,,1.0000,0.0000,0.0000,,0.0000
"Tomato Sauce (115g)",,pack,,1.0000,0.0000,0.0000,,0.0000
"Tomato Sauce (250g)",,pack,,1.0000,0.0000,0.0000,,0.0000
"tomato sauce 1kgn",,pack,,1.0000,0.0000,0.0000,,0.0000
"toot pick",,pack,,1.0000,0.0000,0.0000,,0.0000
tropicana,,bot,,1.0000,1.0000,0.0000,,0.0000
tuna,,can,,1.0000,0.0000,0.0000,,0.0000
turmeric,,bot,,1.0000,0.0000,0.0000,,0.0000
Tuyo,,gal,,1.0000,1.0000,0.0000,,0.0000
Tylose,,pack,,1.0000,0.0000,0.0000,,0.0000
"Ube Alaska Condense",,can,,1.0000,0.0000,0.0000,,0.0000
"Ube Flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"ube paste",,klo,,1.0000,0.0000,0.0000,,0.0000
"Vana Blanca",,g,,1.0000,0.0000,0.0000,,0.0000
Vanilla,,L,,1.0000,0.0000,0.0000,,0.0000
walnuts,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Whipping Cream",,gallon,,1.0000,5.0000,0.0000,,0.0000
whippit,,kl.,,1.0000,0.0000,0.0000,,0.0000
"white chips 1/2",,pack,,1.0000,0.0000,0.0000,,0.0000
"White Chocolate",,pack,,1.0000,5.0000,0.0000,,0.0000
"white paper",,bot,,1.0000,0.0000,0.0000,,0.0000
"White Sugar",,g,kg,1000.0000,40000.0000,0.0000,,0.0000
"Whole Corn",,can,,1.0000,4.0000,0.0000,,0.0000
"whole mushroom big",,can,,1.0000,0.0000,0.0000,,0.0000
yeast,,pack,,1.0000,0.0000,0.0000,,0.0000
